status_id,permalink,mitu_link,sharetext,post_type,category,date,sponsored,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1677778745855894,https://www.facebook.com/1405630409737397_1677778745855894,https://wearemitu.com/mitu-world/celebrate-mickey-mouses-birthday-with-feliz-cumpleanos/,His Spanish is so cute!,Link,TV & Movies,17/11/2016,0,0,1,0,,,
1405630409737397_1542507046049732,https://www.facebook.com/wearemitu/posts/1542507046049732,https://wearemitu.com/mitu-world/central-valley-latinos-stuck-between-gangs-and-the-police/,This is messed up.,Link,News & Issues,18/01/2016,0,0,1,0,,,
1405630409737397_1610729509227485,https://www.facebook.com/wearemitu/posts/1610729509227485,https://wearemitu.com/mitu-world/charlie-sheen-calls-trumps-wedding-gift-dog-shit/,The only time Charlie Sheen has made sense.,Link,Celebrity & Gossip,22/06/2016,0,0,1,0,,,
1405630409737397_1543440075956429,https://www.facebook.com/wearemitu/posts/1543440075956429,https://wearemitu.com/mitu-world/check-out-the-chola-within-sandra-bullock/,Does she pull it off?,Link,Celebrity & Gossip,20/01/2016,0,1,1,0,0,4,0
1405630409737397_1572854009681702,https://www.facebook.com/wearemitu/posts/1572854009681702,https://wearemitu.com/mitu-world/check-out-the-chola-within-sandra-bullock/,Does she pull it off?,Link,Celebrity & Gossip,28/03/2016,0,1,0,1,1,4,68
1405630409737397_1590497447917358,https://www.facebook.com/wearemitu/posts/1590497447917358,https://wearemitu.com/mitu-world/check-out-the-chola-within-sandra-bullock/,Does she pull it off?,Link,Celebrity & Gossip,5/05/2016,0,1,0,1,2,4,38
1405630409737397_1603070969993339,https://www.facebook.com/wearemitu/posts/1603070969993339,https://wearemitu.com/mitu-world/check-out-the-chola-within-sandra-bullock/,Does she pull it off?,Link,Celebrity & Gossip,4/06/2016,0,1,0,1,3,4,30
1405630409737397_1614244115542691,https://www.facebook.com/wearemitu/posts/1614244115542691,https://wearemitu.com/mitu-world/check-out-the-chola-within-sandra-bullock/,Does she pull it off?,Link,Celebrity & Gossip,2/07/2016,0,1,0,1,4,4,28
1405630409737397_1527963157504121,https://www.facebook.com/wearemitu/posts/1527963157504121,https://wearemitu.com/mitu-world/check-out-the-hottest-cop-in-guadalajara/,Arrest me please.,Link,Identities,14/12/2015,0,1,1,0,0,1,0
1405630409737397_1558421337791636,https://www.facebook.com/wearemitu/posts/1558421337791636,https://wearemitu.com/mitu-world/check-out-the-hottest-cop-in-guadalajara/,Arrest me please.,Link,Identities,26/02/2016,0,1,0,1,1,1,74
1405630409737397_1573308372969599,https://www.facebook.com/wearemitu/posts/1573308372969599,https://wearemitu.com/mitu-world/chicago-area-latino-man-dies-under-mysterious-circumstances-while-under-police-custody/,Everything about this is sketchy.,Link,Sensationalist,29/03/2016,0,0,1,0,,,
1405630409737397_1647384305562005,https://www.facebook.com/wearemitu/posts/1647384305562005,https://wearemitu.com/mitu-world/chicagos-deep-dish-pizza-is-getting-a-mexican-makeover/,I need to try this before I die.,Link,Food & Beverages,17/09/2016,0,0,1,0,,,
