status_id,permalink,post_type,video_repost_sharetext,created_time,date,sponsored,video_meme,series,category,format,reposted,original,repost,repost_order,times_repost,days_bet_repost
1405630409737397_1520987368201700,https://www.facebook.com/1405630409737397_1520987368201700,video,When you get blessed by el airecito a little too hard...,1/12/2015 11:00,1/12/2015,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1509141799386257,https://www.facebook.com/1405630409737397_1509141799386257,video,When you get blessed by el airecito...,3/11/2015 16:00,3/11/2015,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1774593372841097,https://www.facebook.com/1405630409737397_1774593372841097,video,When you get caught slippin.,24/05/2017 11:01,24/05/2017,0,0,Bad Hombres Share,Sex & Relationships,Square,0,1,0,,,
1405630409737397_1528924964074607,https://www.facebook.com/1405630409737397_1528924964074607,video,When you get owned by your own religion... #AWKWARD,16/12/2015 18:00,16/12/2015,0,0,NA,Citizenship & Politics,Regular,0,1,0,,,
1405630409737397_1592056744428095,https://www.facebook.com/1405630409737397_1592056744428095,video,When you go too hard on the piñata.,9/05/2016 13:00,9/05/2016,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1689501228016979,https://www.facebook.com/1405630409737397_1689501228016979,video,When you gotta teach your gringo boyfriend how to take back-handed compliments from your family.,10/12/2016 16:00,10/12/2016,0,0,Sketch,Sex & Relationships,Square,1,1,0,0,1,0
1405630409737397_1705329486434153,https://www.facebook.com/1405630409737397_1705329486434153,video,When you gotta teach your gringo boyfriend how to take back-handed compliments from your family.,10/01/2017 7:00,10/01/2017,0,0,Sketch,Sex & Relationships,Square,1,0,1,1,1,31
1405630409737397_1510037952629975,https://www.facebook.com/1405630409737397_1510037952629975,video,When you have a missed call from your mom... #DRAMA,4/11/2015 21:00,4/11/2015,0,1,Video Memes,Family & Friends,Square,0,1,0,,,
1405630409737397_1604736499826786,https://www.facebook.com/1405630409737397_1604736499826786,video,When you know your makeup is popping.,7/06/2016 11:00,7/06/2016,0,1,Video Memes,Latino Culture,Square,0,1,0,,,
1405630409737397_1657076904592745,https://www.facebook.com/wearemitu/videos/1657076904592745/,video,When you let your friend hook you up.,7/10/2016 13:00,7/10/2016,0,0,Sketch,Family & Friends,Regular,0,1,0,,,
1405630409737397_1539768579656912,https://www.facebook.com/1405630409737397_1539768579656912,video,When you love food...,11/01/2016 22:00,11/01/2016,0,1,Video Memes,Food & Beverages,Square,0,1,0,,,
